"System","File","Line","UsageKind","FreeCallPresentInFile","Evidence"
"Custom:OmniAI","Data/Scripts/Custom/OmniAI/OmniAI Shared.cs","234","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = m_Mobile.Map.GetItemsInRange(m_Mobile.Location, 0);"
"Custom:RandomEncounters","Data/Scripts/Custom/RandomEncounters/Timers.cs","260","ExplicitIPooledEnumerable","No","IPooledEnumerable eable = null;"
"Custom:RandomEncounters","Data/Scripts/Custom/RandomEncounters/Timers.cs","269","RangeScan","No","eable = m.Map.GetClientsInRange(loc, 18);"
"Custom:RandomEncounters","Data/Scripts/Custom/RandomEncounters/Timers.cs","278","RangeScan","No","eable = i.Map.GetClientsInRange(loc, 18);"
"Custom:Vhaerun's CRL Homestead System [2.0]","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Commands/VinePlacement.cs","254","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetItemsInBounds(new Rectangle2D(x, y, 1, 1));"
"Custom:Vhaerun's CRL Homestead System [2.0]","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Cooking/Container Food/ContainerFood.cs","216","ExplicitIPooledEnumerable","Yes","IPooledEnumerable inRange = from.Map.GetItemsInRange(from.Location, 1);"
"Custom:Vhaerun's CRL Homestead System [2.0]","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/CropHelper.cs","246","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetItemsInBounds(new Rectangle2D(x, y, 1, 1));"
"Custom:Vhaerun's CRL Homestead System [2.0]","Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/CropHelper.cs","394","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetItemsInRange(pnt, range);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","3334","DirectForeachRangeScan","Yes","foreach (Mobile p in ((Item)refobject).GetMobilesInRange(range))"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","3343","RangeScan","Yes","Mobile p in ((Mobile)refobject).GetMobilesInRange(range)"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","5380","DirectForeachRangeScan","Yes","foreach (Mobile p in ((Item)o).GetMobilesInRange(range))"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","5388","DirectForeachRangeScan","Yes","foreach (Mobile p in ((Mobile)o).GetMobilesInRange(range))"
