"System","File","HookType","Marker","Line","Registration","Handler","Access","Trigger","Guards","Risk","Docs","CommentNeeded"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/GetLocationRequest.cs","Initialize","Initialize","10","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/MoveItemsCommand.cs","Initialize","Initialize","10","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;NullGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:OrbRemoteServer","Data/Scripts/Custom/OrbRemoteServer/UOArchitect/SelectItemsRequest.cs","Initialize","Initialize","19","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;MapGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-orbremoteserver.md","ReviewLater"
"Custom:Player Range Sensitive Mod","Data/Scripts/Custom/Player Range Sensitive Mod/setdeactivation.cs","Initialize","Initialize","13","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;RangeGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-player-range-sensitive-mod.md","ReviewLater"
"Custom:Point Command [2.0]","Data/Scripts/Custom/Point Command [2.0]/Point.cs","Initialize","Initialize","13","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;MapGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-point-command-2-0.md","ReviewLater"
"Character Level","Data/Scripts/Custom/Progression/CharacterLevel/CharacterLevelCommands.cs","Initialize","Initialize","12","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/character-level.md","ReviewLater"
"PvP Consent","Data/Scripts/Custom/PvPConsent/Gumps/PKNONPKGUMP.cs","Initialize","Initialize","87","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;NullGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/pvp-consent.md","ReviewLater"
"Random Encounters","Data/Scripts/Custom/RandomEncounters/Commands.cs","Initialize","Initialize","21","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard","Medium","docs/codebase-audit/outputs/system-cards/random-encounters.md","ReviewLater"
"Random Encounters","Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs","Initialize","Initialize","99","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;MapGuard;NullGuard;RangeGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/random-encounters.md","ReviewLater"
"Random Encounters","Data/Scripts/Custom/RandomEncounters/Helpers.cs","Initialize","Initialize","30","public static void Initialize()","","GlobalOrInternal","Shard script initialization","BoundsGuard;MapGuard;RangeGuard","Medium","docs/codebase-audit/outputs/system-cards/random-encounters.md","ReviewLater"
