"RuntimeScriptPath","SizeBytes","LastWriteTime"
"Data/Scripts/Custom/Champions/System/CannedEvil/SliceTimer.cs","510","2026-04-25T13:24:29.2995783-05:00"
"Data/Scripts/Custom/Champions/System/Items/ChampionSkull.cs","2364","2026-04-25T13:24:29.2995783-05:00"
"Data/Scripts/Custom/Champions/System/Mobiles/BaseChampion.cs","11567","2026-04-25T13:24:29.3005780-05:00"
"Data/Scripts/Custom/ChangeSeason/ChangeSeason.cs","2117","2023-12-22T10:55:34.0410616-06:00"
"Data/Scripts/Custom/Character Swap/CharacterSwap.cs","20909","2023-12-22T10:55:34.0410616-06:00"
"Data/Scripts/Custom/ClearDeckCommand/ClearDeckCommand.cs","2370","2026-06-08T16:42:17.0445413-05:00"
"Data/Scripts/Custom/Combat/AIOverhaul/AITacticalTargeting.cs","5464","2026-05-23T12:32:52.6614349-05:00"
"Data/Scripts/Custom/Government System/CityEnums.cs","5298","2023-11-29T10:17:07.4448381-06:00"
"Data/Scripts/Custom/Government System/CityUpgradeSystem.cs","8024","2023-12-22T10:55:34.0410616-06:00"
"Data/Scripts/Custom/Government System/Commands/AdminAdd.cs","773","2024-03-29T16:18:03.2256830-05:00"
"Data/Scripts/Custom/Government System/Commands/FindCities.cs","767","2023-12-22T10:55:34.0425636-06:00"
"Data/Scripts/Custom/Government System/Commands/GovernmentTestingCommand.cs","2246","2025-09-13T11:27:53.3761462-05:00"
"Data/Scripts/Custom/Government System/Commands/GovHelp.cs","743","2023-12-22T10:55:34.0425636-06:00"
"Data/Scripts/Custom/Government System/GovernmentTestingMode.cs","2064","2025-09-13T11:27:53.3801463-05:00"
"Data/Scripts/Custom/Government System/Gumps/AcceptJoinGump.cs","2293","2023-12-22T10:55:34.0425636-06:00"
"Data/Scripts/Custom/Government System/Gumps/AdminAddGump.cs","4686","2023-12-22T10:55:34.0425636-06:00"
"Data/Scripts/Custom/Government System/Gumps/AssistMayorGump.cs","4399","2023-12-22T10:55:34.0425636-06:00"
"Data/Scripts/Custom/Government System/Gumps/CancelAllegiancesGump.cs","4566","2023-12-22T10:55:34.0435676-06:00"
"Data/Scripts/Custom/Government System/Gumps/ChangeCitizenTitleGump.cs","3759","2023-12-22T10:55:34.0435676-06:00"
"Data/Scripts/Custom/Government System/Gumps/CityCitizenGump.cs","3849","2023-12-22T10:55:34.0435676-06:00"
"Data/Scripts/Custom/Government System/Gumps/CityCorpseFeeGump.cs","3407","2023-12-22T10:55:34.0435676-06:00"
"Data/Scripts/Custom/Government System/Gumps/CityManagementGump.cs","26300","2025-09-13T11:27:53.3851710-05:00"
"Data/Scripts/Custom/Government System/Gumps/CityMarketGump.cs","4577","2023-12-22T10:55:34.0445712-06:00"
"Data/Scripts/Custom/Government System/Gumps/CityResFeeGump.cs","1933","2023-12-22T10:55:34.0445712-06:00"
"Data/Scripts/Custom/Government System/Gumps/CityWarningGump.cs","2795","2023-11-29T10:17:07.4478911-06:00"
"Data/Scripts/Custom/Government System/Gumps/ConfirmDisbandCityGump.cs","2043","2023-12-22T10:55:34.0445712-06:00"
"Data/Scripts/Custom/Government System/Gumps/ConfirmLeaveCityGump.cs","1752","2023-12-22T10:55:34.0445712-06:00"
"Data/Scripts/Custom/Government System/Gumps/DeclareCityAllegiancesGump.cs","6010","2023-12-22T10:55:34.0445712-06:00"
"Data/Scripts/Custom/Government System/Gumps/DeclareCityWarGump.cs","5919","2023-12-22T10:55:34.0445712-06:00"
"Data/Scripts/Custom/Government System/Gumps/DeclarePeaceGump.cs","4505","2023-12-22T10:55:34.0455710-06:00"
"Data/Scripts/Custom/Government System/Gumps/DestoryStructureGump.cs","10702","2023-12-22T10:55:34.0455710-06:00"
"Data/Scripts/Custom/Government System/Gumps/FindCitiesGump.cs","4741","2023-12-22T10:55:34.0455710-06:00"
"Data/Scripts/Custom/Government System/Gumps/GovHelpGump.cs","15135","2023-11-29T10:17:07.4508912-06:00"
"Data/Scripts/Custom/Government System/Gumps/MaintenanceReportGump.cs","4636","2023-12-22T10:55:34.0455710-06:00"
"Data/Scripts/Custom/Government System/Gumps/NoCitiesGump.cs","1076","2023-11-29T10:17:07.4518915-06:00"
"Data/Scripts/Custom/Government System/Gumps/PCMoongateGump.cs","6199","2023-12-22T10:55:34.0455710-06:00"
"Data/Scripts/Custom/Government System/Gumps/PCMoongateToll2Gump.cs","4218","2023-12-22T10:55:34.0455710-06:00"
"Data/Scripts/Custom/Government System/Gumps/PCMoongateTollGump.cs","4741","2023-12-22T10:55:34.0465706-06:00"
"Data/Scripts/Custom/Government System/Gumps/RemoveCityBanGump.cs","3863","2023-12-22T10:55:34.0465706-06:00"
"Data/Scripts/Custom/Government System/Gumps/RemoveMemberGump.cs","4116","2023-12-22T10:55:34.0465706-06:00"
"Data/Scripts/Custom/Government System/Gumps/ResourceBoxGump.cs","14764","2025-11-28T17:18:07.3254834-06:00"
"Data/Scripts/Custom/Government System/Gumps/SponsorGump.cs","2376","2023-12-22T10:55:34.0465706-06:00"
"Data/Scripts/Custom/Government System/Gumps/ViewCityAllegiancesGump.cs","3726","2023-12-22T10:55:34.0465706-06:00"
"Data/Scripts/Custom/Government System/Gumps/ViewCityAtWarGump.cs","3697","2023-12-22T10:55:34.0465706-06:00"
"Data/Scripts/Custom/Government System/Gumps/ViewCityBansGump.cs","3547","2023-12-22T10:55:34.0465706-06:00"
"Data/Scripts/Custom/Government System/Gumps/ViewCityMembersGump.cs","3909","2023-12-22T10:55:34.0475707-06:00"
"Data/Scripts/Custom/Government System/Gumps/ViewDeclaredAllegiancesGump.cs","4945","2023-12-22T10:55:34.0475707-06:00"
"Data/Scripts/Custom/Government System/Gumps/ViewDeclaredWarsGump.cs","4574","2023-12-22T10:55:34.0475707-06:00"
"Data/Scripts/Custom/Government System/Gumps/ViewInvitedAllegiancesGump.cs","5892","2023-12-22T10:55:34.0475707-06:00"
"Data/Scripts/Custom/Government System/Gumps/ViewInvitedWarsGump.cs","5761","2023-12-22T10:55:34.0475707-06:00"
"Data/Scripts/Custom/Government System/Gumps/ViewSponsoredGump.cs","4179","2023-12-22T10:55:34.0475707-06:00"
"Data/Scripts/Custom/Government System/Gumps/VotingStoneGump.cs","6122","2023-12-22T10:55:34.0475707-06:00"
"Data/Scripts/Custom/Government System/InternalChatMsg.cs","2311","2023-12-22T10:55:34.0485707-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Decore/CityHedge.cs","661","2023-11-29T10:17:07.4649474-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Decore/CityLampPost.cs","716","2023-11-29T10:17:07.4649474-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Decore/CityTrashBarrel.cs","1039","2023-11-29T10:17:07.4662050-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/AsianCityBankAddon.cs","16109","2023-11-29T10:17:07.4672053-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/FieldstoneCityBankAddon.cs","16720","2023-11-29T10:17:07.4672053-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/MarbleCityBankAddon.cs","17455","2023-11-29T10:17:07.4682056-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/NecroCityBankAddon.cs","22731","2023-11-29T10:17:07.4682056-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/PlasterCityBankAddon.cs","16710","2023-11-29T10:17:07.4682056-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/SandstoneCityBankAddon.cs","17463","2023-11-29T10:17:07.4682056-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/StoneCityBankAddon.cs","17463","2023-11-29T10:17:07.4692051-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Banks/WoodCityBankAddon.cs","16738","2023-11-29T10:17:07.4692051-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/AsianCityHallAddon.cs","74522","2023-11-29T10:17:07.4692051-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/FieldStoneCityHallAddon.cs","69774","2023-11-29T10:17:07.4692051-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/MarbleCityHallAddon.cs","51507","2023-11-29T10:17:07.4712047-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/NecroCityHallAddon.cs","67619","2023-11-29T10:17:07.4722044-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/PlasterCityHallAddon.cs","70456","2023-11-29T10:17:07.4722044-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/SandstoneCityHallAddon.cs","54016","2023-11-29T10:17:07.4722044-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/StoneCityHallAddon.cs","53356","2023-11-29T10:17:07.4732047-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/City Halls/WoodCityHallAddon.cs","52350","2023-11-29T10:17:07.4732047-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/AsianCityHealerAddon.cs","23315","2023-11-29T10:17:07.4742048-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/FieldstoneCityHealerAddon.cs","24184","2023-11-29T10:17:07.4752050-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/MarbleCityHealerAddon.cs","24930","2023-11-29T10:17:07.4752050-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/NecroCityHealerAddon.cs","31348","2023-11-29T10:17:07.4752050-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/PlasterCityHealerAddon.cs","24508","2023-11-29T10:17:07.4752050-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/SandstoneCityHealerAddon.cs","25672","2023-11-29T10:17:07.4766279-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/StoneCityHealerAddon.cs","26284","2023-11-29T10:17:07.4766279-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Healers/WoodCityHealerAddon.cs","24186","2023-11-29T10:17:07.4766279-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/AsianMarketAddon.cs","23174","2023-11-29T10:17:07.4776279-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/FieldstoneMarketAddon.cs","17265","2023-11-29T10:17:07.4776279-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/MarbleMarketAddon.cs","32366","2023-11-29T10:17:07.4776279-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/NecroMarketAddon.cs","23161","2023-11-29T10:17:07.4776279-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/PlasterMarketAddon.cs","22736","2023-11-29T10:17:07.4786273-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/SandstoneMarketAddon.cs","22958","2023-11-29T10:17:07.4786273-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/StoneMarketAddon.cs","17294","2023-11-29T10:17:07.4786273-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Markets/WoodMarketAddon.cs","22967","2023-11-29T10:17:07.4786273-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Moongates/AsianCityMoongateAddon.cs","13763","2023-11-29T10:17:07.4796271-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Moongates/MarbleCityMoongateAddon.cs","8303","2023-11-29T10:17:07.4796271-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Moongates/NecroCityMoongateAddon.cs","12721","2023-11-29T10:17:07.4796271-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Moongates/SandstoneCityMoongateAddon.cs","10541","2023-11-29T10:17:07.4796271-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Moongates/StoneCityMoongateAddon.cs","13471","2023-11-29T10:17:07.4796271-06:00"
"Data/Scripts/Custom/Government System/Items/Civic Structures/Stock Buildings/Moongates/WoodCityMoongateAddon.cs","15187","2023-11-29T10:17:07.4806287-06:00"
