"Path","Root","PrimaryRole","SecondaryRoles","System","Namespace","Types","IncludedInScriptsProject","ProjectTruthAction","Commands","Hooks","SerializedTypes","Gumps","ConfigData","Evidence"
"Data/Scripts/Mobiles/Constructs/Golems/CaddelliteGolem.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Constructs","Server.Mobiles","class:CaddelliteGolem","True","Keep","","Timer.DelayCall","class:CaddelliteGolem","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Constructs/Golems/FleshGolem.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Constructs","Server.Mobiles","class:FleshGolem","True","Keep","","Timer.DelayCall","class:FleshGolem","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Constructs/Golems/Golem.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Constructs","Server.Mobiles","class:Golem","True","Keep","","Timer.DelayCall","class:Golem","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Constructs/Golems/IceGolem.cs","Mobiles","Persistence","MobileContent","Mobiles:Constructs","Server.Mobiles","class:IceGolem","True","Keep","","","class:IceGolem","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Constructs/Golems/IronBeetle.cs","Mobiles","Persistence","MobileContent","Mobiles:Constructs","Server.Mobiles","class:IronBeetle","True","Keep","","","class:IronBeetle","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Constructs/Golems/IronCobra.cs","Mobiles","Persistence","MobileContent","Mobiles:Constructs","Server.Mobiles","class:IronCobra","True","Keep","","","class:IronCobra","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Constructs/Golems/MechanicalScorpion.cs","Mobiles","Persistence","MobileContent","Mobiles:Constructs","Server.Mobiles","class:MechanicalScorpion","True","Keep","","","class:MechanicalScorpion","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Constructs/Golems/MetalGolem.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Constructs","Server.Mobiles","class:MetalGolem","True","Keep","","Timer.DelayCall","class:MetalGolem","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Constructs/Golems/RunicGolem.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Constructs","Server.Mobiles","class:RunicGolem","True","Keep","","Timer.DelayCall","class:RunicGolem","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Constructs/Golems/RustGolem.cs","Mobiles","Persistence","MobileContent","Mobiles:Constructs","Server.Mobiles","class:RustGolem","True","Keep","","","class:RustGolem","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Constructs/Golems/SkinGolem.cs","Mobiles","Persistence","MobileContent","Mobiles:Constructs","Server.Mobiles","class:SkinGolem","True","Keep","","","class:SkinGolem","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Constructs/Golems/WoodenGolem.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Constructs","Server.Mobiles","class:WoodenGolem","True","Keep","","Timer.DelayCall","class:WoodenGolem","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Constructs/Statues/AnyStatue.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Constructs","Server.Mobiles","class:AnyStatue","True","Keep","","Timer.DelayCall","class:AnyStatue","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Constructs/Statues/LivingBronzeStatue.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Constructs","Server.Mobiles","class:LivingBronzeStatue","True","Keep","","Timer.DelayCall","class:LivingBronzeStatue","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Constructs/Statues/LivingGoldStatue.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Constructs","Server.Mobiles","class:LivingGoldStatue","True","Keep","","Timer.DelayCall","class:LivingGoldStatue","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Constructs/Statues/LivingIronStatue.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Constructs","Server.Mobiles","class:LivingIronStatue","True","Keep","","Timer.DelayCall","class:LivingIronStatue","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Constructs/Statues/LivingJadeStatue.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Constructs","Server.Mobiles","class:LivingJadeStatue","True","Keep","","Timer.DelayCall","class:LivingJadeStatue","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Constructs/Statues/LivingMarbleStatue.cs","Mobiles","StartupWiring","Persistence;StaffTooling;MobileContent","Mobiles:Constructs","Server.Mobiles","class:LivingMarbleStatue","True","Keep","","Timer.DelayCall","class:LivingMarbleStatue","","","Mobiles root; serialization marker; staff/event tooling path marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Constructs/Statues/LivingShadowIronStatue.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Constructs","Server.Mobiles","class:LivingShadowIronStatue","True","Keep","","Timer.DelayCall","class:LivingShadowIronStatue","","","Mobiles root; serialization marker; startup/event/timer/world marker"
