"Path","Namespace","Types","LikelySystem"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSkullPlatform.cs","Server.Engines.CannedEvil","class:ChampionSkullPlatform","Custom:Champions"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSkullType.cs","Server.Engines.CannedEvil","enum:ChampionSkullType","Custom:Champions"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawn.cs","Server.Engines.CannedEvil","class:ChampionSpawn","Custom:Champions"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawnInfo.cs","Server.Engines.CannedEvil","class:ChampionSpawnInfo","Custom:Champions"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawnRegion.cs","Server.Engines.CannedEvil","class:ChampionSpawnRegion","Custom:Champions"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawnType.cs","Server.Engines.CannedEvil","enum:ChampionSpawnType","Custom:Champions"
"Data/Scripts/Custom/Champions/System/CannedEvil/IdolOfTheChampion.cs","Server.Engines.CannedEvil","class:IdolOfTheChampion","Custom:Champions"
"Data/Scripts/Custom/Champions/System/CannedEvil/RestartTimer.cs","Server.Engines.CannedEvil","class:RestartTimer","Custom:Champions"
"Data/Scripts/Custom/Champions/System/CannedEvil/SliceTimer.cs","Server.Engines.CannedEvil","class:SliceTimer","Custom:Champions"
"Data/Scripts/Custom/Champions/System/Items/ChampionSkull.cs","Server.Items","class:ChampionSkull","Custom:Champions"
"Data/Scripts/Custom/Champions/System/Mobiles/BaseChampion.cs","Server.Mobiles","class:BaseChampion;class:GoodiesTimer","Custom:Champions"
"Data/Scripts/Custom/ChangeSeason/ChangeSeason.cs","Server.Commands","class:ChangeSeason","Custom:ChangeSeason"
"Data/Scripts/Custom/Character Swap/CharacterSwap.cs","Server.Gumps","class:CharacterControlGump;class:SwapInfo","Custom:Character Swap"
"Data/Scripts/Custom/ClearDeckCommand/ClearDeckCommand.cs","Server.Commands","class:ClearDeckCommand","Custom:ClearDeckCommand"
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/BackpackClone.cs","Server.Custom.Confictura.CloneOfflinePlayerCharacters","class:BackpackClone","Custom:CloneOfflinePlayerCharacters"
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/CharacterClone.cs","Server.Custom.Confictura.CloneOfflinePlayerCharacters","class:CharacterClone;class:PayTimer;class:HireEntry","Custom:CloneOfflinePlayerCharacters"
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/CheckClonesCommand.cs","Server.Custom.Confictura.CloneOfflinePlayerCharacters","class:CheckClonesCommand","Custom:CloneOfflinePlayerCharacters"
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/CloneOfflinePlayerCharacters.cs","Server.Custom.Confictura.CloneOfflinePlayerCharacters","class:CloneOfflinePlayerCharacters","Custom:CloneOfflinePlayerCharacters"
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/CloneThings.cs","Server.Custom.Confictura.CloneOfflinePlayerCharacters","class:CloneThings","Custom:CloneOfflinePlayerCharacters"
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/EtherealMountClone.cs","Server.Custom.Confictura.CloneOfflinePlayerCharacters","class:EtherealMountClone","Custom:CloneOfflinePlayerCharacters"
"Data/Scripts/Custom/CloneOfflinePlayerCharacters/MountClone.cs","Server.Custom.Confictura.CloneOfflinePlayerCharacters","class:MountClone","Custom:CloneOfflinePlayerCharacters"
"Data/Scripts/Custom/Combat/AIOverhaul/AITacticalTargeting.cs","Server.Custom.Confictura","enum:AITacticalTargetProfile;enum:AITacticalReacquireReason;class:AITacticalTargeting","Custom:Combat"
"Data/Scripts/Custom/Government System/CityEnums.cs","Server","enum:CivicStrutureType;enum:CivicSignType;class:CityTypes","Custom:Government System"
"Data/Scripts/Custom/Government System/CityUpgradeSystem.cs","Server","class:CityUpgradeSystem","Custom:Government System"
"Data/Scripts/Custom/Government System/GovernmentTestingMode.cs","Server.Custom.Confictura","class:GovernmentTestingMode","Custom:Government System"
"Data/Scripts/Custom/Government System/InternalChatMsg.cs","Knives.Chat3","class:InternalChatMessage","Custom:Government System"
"Data/Scripts/Custom/Government System/PlayerGovernmentSystem.cs","Server","class:PlayerGovernmentSystem","Custom:Government System"
"Data/Scripts/Custom/Government System/Commands/AdminAdd.cs","Server.Commands","class:AdminAddCommand","Custom:Government System"
"Data/Scripts/Custom/Government System/Commands/FindCities.cs","Server.Commands","class:FindCitiesCommand","Custom:Government System"
"Data/Scripts/Custom/Government System/Commands/GovernmentTestingCommand.cs","Server.Custom.Confictura","class:GovernmentTestingCommand","Custom:Government System"
"Data/Scripts/Custom/Government System/Commands/GovHelp.cs","Server.Commands","class:GovHelpCommand","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/AcceptJoinGump.cs","Server.Gumps","class:AcceptJoinGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/AdminAddGump.cs","Server.Gumps","class:AdminAddGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/AssistMayorGump.cs","Server.Gumps","class:AssistMayorGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/CancelAllegiancesGump.cs","Server.Gumps","class:CancelAllegiancesGump","Custom:Government System"
