"Path","Namespace","Types","LikelySystem"
"Data/Scripts/Custom/Government System/Gumps/ChangeCitizenTitleGump.cs","Server.Gumps","class:ChangeCitizenTitleGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/CityCitizenGump.cs","Server.Gumps","class:CityCitizenGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/CityCorpseFeeGump.cs","Server.Gumps","class:CityCorpseFeeGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/CityManagementGump.cs","Server.Gumps","class:CityManagementGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/CityMarketGump.cs","Server.Gumps","class:CityMarketGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/CityResFeeGump.cs","Server.Gumps","class:CityResFeeGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/CityWarningGump.cs","Server.Gumps","class:CityWarningGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/ConfirmDisbandCityGump.cs","Server.Gumps","class:CityDisbandCityGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/ConfirmLeaveCityGump.cs","Server.Gumps","class:ConfirmLeaveCityGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/DeclareCityAllegiancesGump.cs","Server.Gumps","class:DeclareCityAllegiancesGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/DeclareCityWarGump.cs","Server.Gumps","class:DeclareCityWarGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/DeclarePeaceGump.cs","Server.Gumps","class:DeclarePeaceGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/DestoryStructureGump.cs","Server.Gumps","class:DestoryCityStructureGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/FindCitiesGump.cs","Server.Gumps","class:FindCitiesGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/GovHelpGump.cs","Server.Gumps","class:GovHelpGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/MaintenanceReportGump.cs","Server.Gumps","class:MaintenanceReportGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/NoCitiesGump.cs","Server.Gumps","class:NoCitiesGump","Custom:Government System"
"Data/Scripts/Custom/Government System/Gumps/PCMoongateGump.cs","Server.Gumps","class:PCMoongateGump","Custom:Government System"
