"RecordType","Path","IncludePath","ExistsOnDisk","IncludedInScriptsProject","MissingCompileTarget","UnincludedSource","GeneratedOrOutput","DriftClass","LikelySystem","RuntimeMarkers","Types","Action"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/GreaterMongbat.cs","Custom\Champions\Mobiles\Minions\GreaterMongbat.cs","True","True","False","False","False","","Custom:Champions","","class:GreaterMongbat","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/Hiryu.cs","Custom\Champions\Mobiles\Minions\Hiryu.cs","True","True","False","False","False","","Custom:Champions","CustomTimerSubclass;Timer.DelayCall","class:Hiryu;class:ExpireTimer","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/InterredGrizzle .cs","Custom\Champions\Mobiles\Minions\InterredGrizzle .cs","True","True","False","False","False","","Custom:Champions","","class:InterredGrizzle","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/Kappa.cs","Custom\Champions\Mobiles\Minions\Kappa.cs","True","True","False","False","False","","Custom:Champions","CustomTimerSubclass","class:Kappa;class:InternalTimer","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/LesserHiryu.cs","Custom\Champions\Mobiles\Minions\LesserHiryu.cs","True","True","False","False","False","","Custom:Champions","CustomTimerSubclass;Timer.DelayCall","class:LesserHiryu;class:ExpireTimer","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/Oni.cs","Custom\Champions\Mobiles\Minions\Oni.cs","True","True","False","False","False","","Custom:Champions","","class:Oni","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/PestilentBandage.cs","Custom\Champions\Mobiles\Minions\PestilentBandage.cs","True","True","False","False","False","","Custom:Champions","","class:PestilentBandage","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueBeast.cs","Custom\Champions\Mobiles\Minions\PlagueBeast.cs","True","True","False","False","False","","Custom:Champions","","class:PlagueBeast","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueBeastLord.cs","Custom\Champions\Mobiles\Minions\PlagueBeastLord.cs","True","True","False","False","False","","Custom:Champions","CustomTimerSubclass;OnMovement;Timer.DelayCall","class:PlagueBeastLord;class:DecayTimer","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueSpawn.cs","Custom\Champions\Mobiles\Minions\PlagueSpawn.cs","True","True","False","False","False","","Custom:Champions","","class:PlagueSpawn","Keep"
