"Marker","File","Line","LikelySystem","Notes"
"SendGump","Data/Scripts/Custom/Invasion System/Gump/InvasionGump.cs","551","Custom:Invasion System","from.SendGump(new StartStopLunaSerpentIsland(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Gump/InvasionGump.cs","563","Custom:Invasion System","from.SendGump(new StartStopUmbraSerpentIsland(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartStopBritFelucca.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartStopBritFelucca.cs","689","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartStopBritFelucca.cs","701","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopBuccaneersDenFelucca.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopBuccaneersDenFelucca.cs","449","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopBuccaneersDenFelucca.cs","461","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopCoveFelucca.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopCoveFelucca.cs","406","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopCoveFelucca.cs","418","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopMaginciaFelucca.cs","42","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopMaginciaFelucca.cs","884","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopMaginciaFelucca.cs","929","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopMinocFelucca.cs","42","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopMinocFelucca.cs","834","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopMinocFelucca.cs","887","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopNujelmFelucca.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopNujelmFelucca.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopNujelmFelucca.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopSkaraBraeFelucca.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopSkaraBraeFelucca.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopSkaraBraeFelucca.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopTrinsicFelucca.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopTrinsicFelucca.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopTrinsicFelucca.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopVesperFelucca.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopVesperFelucca.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopVesperFelucca.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopYewFelucca.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopYewFelucca.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Lodor/StartstopYewFelucca.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/SerpentIsland/StartstopLunaMalas.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/SerpentIsland/StartstopLunaMalas.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/SerpentIsland/StartstopLunaMalas.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/SerpentIsland/StartstopUmbraMalas.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/SerpentIsland/StartstopUmbraMalas.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/SerpentIsland/StartstopUmbraMalas.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartStopBritTrammel.cs","124","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartStopBritTrammel.cs","393","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartStopBritTrammel.cs","406","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopBuccaneersDenTrammel.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopBuccaneersDenTrammel.cs","449","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopBuccaneersDenTrammel.cs","461","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
