"DocPath","Indexed","SourceTrace","CodeVerified","NeedsRework","LegacySlug","LocalMarkdownLinkCount","NormalizedSlug","CanonicalOrAlias"
"docs/wiki/Goliath_Monsters.md","True","False","False","False","False","0","goliath-monsters","Unknown"
"docs/wiki/Government_System.md","True","False","True","False","False","0","government-system","Unknown"
"docs/wiki/Grave_Robbing_Trade.md","True","False","False","False","False","0","grave-robbing-trade","Unknown"
"docs/wiki/Guide_To_Adventure_Book.md","True","False","False","False","False","0","guide-to-adventure-book","Unknown"
"docs/wiki/Gump_Framework.md","True","False","False","False","False","0","gump-framework","Unknown"
"docs/wiki/Harvest_Resource_System.md","True","False","False","False","False","0","harvest-resource-system","Unknown"
"docs/wiki/Help_Request_System.md","True","False","False","False","False","0","help-request-system","Unknown"
"docs/wiki/Holy_Man_Magic.md","True","False","False","False","False","0","holy-man-magic","Unknown"
"docs/wiki/Homestead_System.md","True","False","False","False","False","0","homestead-system","Unknown"
"docs/wiki/Housing_System.md","True","False","False","False","False","0","housing-system","Unknown"
"docs/wiki/In_Game_Command_List.md","True","True","False","False","False","0","in-game-command-list","AliasOrCanonicalMention"
"docs/wiki/INDEX.md","False","False","False","False","True","108","index","AliasOrCanonicalMention"
"docs/wiki/Invasion_System.md","True","False","False","False","False","0","invasion-system","Unknown"
"docs/wiki/Jedi_Magic.md","True","False","False","False","False","0","jedi-magic","Unknown"
"docs/wiki/Jester_Magic.md","True","False","False","False","False","0","jester-magic","Unknown"
"docs/wiki/Knight_Chivalry.md","True","False","False","False","False","0","knight-chivalry","Unknown"
"docs/wiki/Librarian_Trade.md","True","False","False","False","False","0","librarian-trade","Unknown"
"docs/wiki/Mage_Spellcasting_Tips.md","True","False","False","False","False","0","mage-spellcasting-tips","Unknown"
"docs/wiki/Magery_Spell_Color_Setting.md","True","False","False","False","False","0","magery-spell-color-setting","Unknown"
"docs/wiki/Magery_Spell_System.md","True","False","False","False","False","3","magery-spell-system","Unknown"
